vAmahai
tAsthaH
vAvahai
tAsmaH
tAstha
tAsvaH
dhavaM
yAthAM
yAthAm
tAsmi
vahai
rAthe
mahai
yAtam
yAtAm
dhvaM
yAtAM
tAraH
tArau
dhvam
thAH
thAM
thaH
rtha
rana
thAm
tAsi
stAm
ntAM
dhve
vAni
vAma
vAva
mahe
yAma
yAta
yate
mahi
vahi
yAva
vahe
sam
sva
suH
sta
sma
mah
maH
ntu
nti
ran
Sva
nte
Mti
Mtu
tAM
yAH
tAt
taM
vaH
yAm
yaM
the
tha
vai
tam
yAt
yuH
taH
tAm
vah
yas
mi
ma
ya
ha
he
hi
Se
si
Si
ta
te
tA
se
vA
re
va
aM
tu
ti
