ebhyaH
bhyAma
AbhyAm
bhyaH
bhyAm
aram
araH
arau
asya
avaH
ayaH
ayoH
bhiH
AnAm
Aram
AraH
Ayai
AyAm
AyAH
InAm
UnAm
aiH
ari
ave
aye
ayA
ena
naH
noH
nAm
roH
voH
yoH
Ani
Aya
Ini
Uni
msi
nti
ai
am
ar
aH
au
eH
ne
ni
nA
NA
Ni
NI
Ne
nI
oH
su
Su
ur
Am
An
AH
At
Im
im
In
in
IH
Um
Un
UH
vA
A
i
e
